Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Matt Moore","PHI",4,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1890
2021,"Clayton Kershaw","LAD",3,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,2036
2021,"David Peralta","ARI",39,58,54,11,6,3,1,1,1,11,3,0,11,1,0,0,0,0,0,0.2037037,2136
2021,"Mitch Moreland","OAK",24,39,35,6,3,1,0,2,2,7,3,0,13,0,1,0,0,0,0,0.17142857,3086
2021,"David Price","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3184
2021,"Matt Joyce","PHI",11,14,11,1,0,0,0,1,1,1,2,0,5,1,0,0,1,0,0,0.09090909,3353
2021,"Anthony Rizzo","CHC",46,86,74,26,19,4,0,3,3,11,7,0,7,4,1,0,2,0,0,0.35135135,3473
2021,"Eric Hosmer","SDP",50,79,72,20,13,4,0,3,3,14,3,0,13,2,1,1,4,0,0,0.27777778,3516
2021,"Josh Reddick","ARI",23,42,41,8,5,3,0,0,0,2,1,0,9,0,0,0,0,0,0,0.19512195,3892
2021,"Michael Brantley","HOU",50,117,109,29,19,8,1,1,1,10,6,0,18,1,1,0,3,0,0,0.26605505,4106
2021,"Joey Votto","CIN",43,84,75,14,8,3,1,2,2,15,8,0,23,1,0,0,3,0,0,0.18666667,4314
2021,"Rich Hill","TBR",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4806
2021,"Jarrod Dyson","KCR",15,18,17,3,2,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0.17647059,4866
2021,"Mike Moustakas","CIN",13,22,16,2,1,1,0,0,0,1,4,0,2,1,1,0,0,0,0,0.125,4892
2021,"Ender Inciarte","ATL",14,14,13,3,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0.23076923,4922
2021,"Jon Lester","WSN",5,7,7,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.14285714,4930
2021,"Jason Heyward","CHC",36,59,53,13,10,2,0,1,1,4,5,0,13,1,0,0,0,0,0,0.24528302,4940
2021,"Stephen Vogt","2 Tms",26,36,30,11,9,1,0,1,1,6,5,0,11,0,0,1,0,0,0,0.36666667,5000
2021,"Wade LeBlanc","STL",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5221
2021,"Jon Jay","LAA",2,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,5227
2021,"Brandon Crawford","SFG",52,88,77,18,12,1,0,5,5,19,8,0,22,0,3,0,1,0,0,0.23376623,5343
2021,"Freddie Freeman","ATL",59,111,97,22,15,2,0,5,5,15,12,0,23,1,1,0,3,0,0,0.22680412,5361
2021,"Ji-Man Choi","TBR",21,41,36,10,5,5,0,0,0,5,4,0,11,1,0,0,0,0,0,0.27777778,5452
2021,"Didi Gregorius","PHI",31,48,40,6,4,1,0,1,1,7,3,0,14,3,2,0,1,0,0,0.15,6012
2021,"Robert Stock","NYM",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6576
2021,"Alex Avila","WSN",9,13,10,1,1,0,0,0,0,2,2,0,6,1,0,0,0,0,0,0.1,7476
2021,"Richard Bleier","MIA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7803
2021,"Charlie Blackmon","COL",58,103,88,25,23,1,0,1,1,6,13,0,17,2,0,0,0,0,0,0.28409091,7859
2021,"Eric Sogard","CHC",32,44,41,9,9,0,0,0,0,4,3,0,4,0,0,0,2,0,0,0.2195122,7927
2021,"Matt Carpenter","STL",12,13,9,1,1,0,0,0,0,1,3,0,5,0,1,0,0,0,0,0.11111111,8090
