Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Matt Moore","PHI",3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1890
2021,"Clayton Kershaw","LAD",14,28,26,6,6,0,0,0,0,3,1,0,9,0,0,1,0,0,0,0.23076923,2036
2021,"David Peralta","ARI",87,283,253,66,43,15,5,3,3,30,29,2,42,1,0,0,7,0,0,0.26086957,2136
2021,"Carlos Santana","KCR",86,291,235,51,32,7,0,12,12,36,51,2,49,2,3,0,4,0,0,0.21702128,2396
2021,"Mitch Moreland","OAK",55,148,135,34,23,6,0,5,5,17,10,0,36,1,2,0,2,0,0,0.25185185,3086
2021,"Kenley Jansen","LAD",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3096
2021,"Tony Watson","LAA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3132
2021,"David Price","LAD",4,5,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.25,3184
2021,"Matt Joyce","PHI",31,48,39,4,2,1,0,1,1,5,8,2,9,0,1,0,1,0,0,0.1025641,3353
2021,"Anthony Rizzo","CHC",79,246,211,44,23,10,3,8,8,23,25,2,47,8,2,0,9,0,0,0.20853081,3473
2021,"Eric Hosmer","SDP",80,260,236,64,50,9,0,5,5,33,22,1,40,2,0,0,5,0,0,0.27118644,3516
2021,"Josh Reddick","ARI",40,99,93,28,19,8,0,1,1,15,5,0,19,0,1,0,3,0,0,0.30107527,3892
2021,"Dexter Fowler","LAA",7,16,15,3,3,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.2,4062
2021,"Michael Brantley","HOU",63,197,182,66,44,16,1,5,5,22,13,0,17,2,0,0,5,0,0,0.36263736,4106
2021,"Jose Lobaton","CHC",4,11,9,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,4243
2021,"Joey Votto","CIN",59,178,154,43,27,7,0,9,9,25,23,1,40,1,0,0,2,0,0,0.27922078,4314
2021,"Jed Lowrie","OAK",76,208,185,48,30,10,0,8,8,26,23,1,42,0,0,0,3,0,0,0.25945946,4418
2021,"Rich Hill","TBR",2,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33333333,4806
2021,"Jarrod Dyson","KCR",30,72,66,17,11,5,1,0,0,7,5,0,14,0,0,1,0,0,0,0.25757576,4866
2021,"Mike Moustakas","CIN",26,82,71,19,11,4,0,4,4,12,8,0,16,1,2,0,4,0,0,0.26760563,4892
2021,"Scott Kazmir","SFG",2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4897
2021,"Ender Inciarte","ATL",37,75,66,14,11,2,0,1,1,8,7,0,21,0,0,2,1,0,0,0.21212121,4922
2021,"Jon Lester","WSN",12,19,18,2,2,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0.11111111,4930
2021,"Jason Heyward","CHC",63,177,158,31,18,7,1,5,5,15,18,0,37,1,0,0,1,0,0,0.19620253,4940
2021,"Asdrubal Cabrera","ARI",58,153,132,31,18,9,0,4,4,18,17,0,32,2,2,0,3,0,0,0.23484848,4962
2021,"Stephen Vogt","2 Tms",46,119,106,20,10,5,1,4,4,12,13,1,26,0,0,0,2,0,0,0.18867925,5000
2021,"Wade LeBlanc","STL",4,5,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5221
2021,"Jon Jay","LAA",4,10,10,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4,5227
2021,"Robbie Grossman","DET",80,278,229,48,32,8,0,8,8,24,42,1,68,3,3,1,1,0,0,0.20960699,5254
2021,"Sandy Leon","MIA",41,101,93,13,10,1,0,2,2,7,5,0,31,1,2,0,1,0,0,0.13978495,5273
2021,"Aaron Hicks","NYY",29,90,75,13,10,2,0,1,1,7,12,0,19,2,1,0,2,0,0,0.17333333,5297
2021,"Brandon Crawford","SFG",78,223,196,60,32,14,1,13,13,39,25,4,43,2,0,0,4,0,0,0.30612245,5343
2021,"Jose Alvarez","SFG",3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5358
2021,"Freddie Freeman","ATL",87,291,244,74,46,12,0,16,16,39,45,9,49,1,1,0,4,0,0,0.30327869,5361
2021,"Pablo Sandoval","ATL",57,71,61,12,8,0,0,4,4,11,9,0,19,1,0,0,2,0,0,0.19672131,5409
2021,"Ji-Man Choi","TBR",36,103,84,20,15,1,0,4,4,15,18,0,28,1,0,0,1,0,0,0.23809524,5452
2021,"Abraham Almonte","ATL",34,103,81,20,10,8,0,2,2,11,21,0,18,0,1,0,0,0,0,0.24691358,5486
2021,"Marwin Gonzalez","BOS",65,182,158,28,22,5,0,1,1,12,14,0,51,8,1,1,3,0,0,0.17721519,5497
2021,"Avisail Garcia","MIL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5760
2021,"Leury Garcia","CHW",69,189,161,40,29,7,2,2,2,24,22,0,43,1,2,3,4,0,0,0.2484472,5913
2021,"Didi Gregorius","PHI",43,131,123,30,18,5,0,7,7,20,7,1,20,0,1,0,2,0,0,0.24390244,6012
2021,"Eduardo Escobar","ARI",90,277,257,62,36,10,2,14,14,44,19,0,67,0,1,0,1,0,0,0.24124514,6153
2021,"Robert Stock","CHC",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6576
2021,"Freddy Galvis","BAL",70,192,171,39,26,7,1,5,5,15,14,1,42,3,1,2,2,0,0,0.22807018,6609
2021,"Martin Perez","BOS",1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6902
2021,"Alex Avila","WSN",24,72,56,10,3,6,1,0,0,4,15,1,24,0,0,1,2,0,0,0.17857143,7476
2021,"Charlie Blackmon","COL",81,237,207,54,36,12,2,4,4,37,23,1,27,6,1,0,4,0,0,0.26086957,7859
2021,"Eric Sogard","CHC",65,130,122,31,24,5,1,1,1,7,6,1,26,0,2,0,3,0,0,0.25409836,7927
2021,"Matt Carpenter","STL",71,155,132,27,15,8,1,3,3,19,18,1,46,5,0,0,0,0,0,0.20454545,8090
2021,"Brett Anderson","MIL",11,18,14,0,0,0,0,0,0,1,3,0,7,0,0,1,3,0,0,0,8223
2021,"Ehire Adrianza","ATL",51,100,85,22,12,5,2,3,3,18,10,0,20,1,3,1,2,0,0,0.25882353,8418
2021,"Gerardo Parra","WSN",18,42,38,8,3,3,0,2,2,5,3,0,13,1,0,0,2,0,0,0.21052632,8553
2021,"Jason Castro","HOU",31,68,54,12,8,3,0,1,1,5,14,0,20,0,0,0,2,0,0,0.22222222,8722
2021,"Wade Miley","CIN",16,30,26,6,5,1,0,0,0,0,3,0,6,0,0,1,0,0,0,0.23076923,8779
2021,"Patrick Corbin","WSN",13,27,22,2,2,0,0,0,0,0,1,0,13,0,0,4,0,0,0,0.09090909,9323
2021,"Brock Holt","TEX",48,150,132,29,18,9,0,2,2,14,17,0,22,1,0,0,2,0,0,0.21969697,9345
2021,"Matt Adams","COL",20,34,32,6,5,1,0,0,0,2,2,1,7,0,0,0,0,0,0,0.1875,9393
2021,"Dallas Keuchel","CHW",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9434
2021,"Kyle Seager","SEA",83,257,228,47,24,11,1,11,11,37,25,1,61,3,1,0,3,0,0,0.20614035,9785
2021,"Rex Brothers","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9794
2021,"Jay Bruce","NYY",10,25,22,2,1,0,0,1,1,1,3,0,10,0,0,0,2,0,0,0.09090909,9892
2021,"Brett Gardner","NYY",66,175,147,29,18,7,2,2,2,11,24,0,38,1,3,0,0,0,0,0.19727891,9927
2021,"Jonathan Villar","NYM",67,177,153,34,19,8,1,6,6,14,21,2,40,2,0,1,2,0,0,0.22222222,10071
2021,"Billy Hamilton","CHW",28,49,45,8,5,2,1,0,0,5,2,0,15,0,1,1,0,0,0,0.17777778,10199
2021,"Tucker Barnhart","CIN",68,205,181,51,33,15,0,3,3,22,20,0,56,4,0,0,4,0,0,0.28176796,10200
2021,"Brandon Belt","SFG",54,159,137,32,15,6,2,9,9,20,20,0,60,2,0,0,4,0,0,0.23357664,10264
2021,"Zack Wheeler","PHI",15,29,27,3,2,1,0,0,0,2,0,0,16,0,0,2,0,0,0,0.11111111,10310
2021,"Danny Santana","BOS",28,85,79,13,9,1,1,2,2,5,5,0,17,1,0,0,0,0,0,0.16455696,10322
2021,"Rafael Ortega","CHC",31,65,59,16,10,4,0,2,2,6,4,0,15,1,0,1,1,0,0,0.27118644,10323
2021,"Cesar Hernandez","CLE",80,243,220,50,33,9,2,6,6,22,20,0,57,2,1,0,1,0,0,0.22727273,10556
2021,"Corey Dickerson","MIA",57,180,164,43,30,9,2,2,2,11,13,0,34,3,0,0,3,0,0,0.26219512,10762
2021,"Jurickson Profar","SDP",85,237,201,47,35,9,1,2,2,17,32,1,37,2,1,1,7,0,0,0.23383085,10815
2021,"Jared Hoying","TOR",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10882
