"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Greg Allen","NYY","3","6","8","3","2","1","0","0","3","1","1","0","2","0","1","0","0","1","0",".500","16623"
"Jakson Reetz","WSN","2","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","17837"
"Matt Vierling","PHI","6","7","7","3","3","0","0","0","1","0","0","0","3","0","0","0","0","1","0",".429","21558"
"Emmanuel Rivera","KCR","2","5","5","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".400","19890"
"J.D. Davis","NYM","17","49","58","19","12","3","0","4","7","11","5","1","18","4","0","0","2","0","0",".388","16219"
"Travis Jankowski","PHI","33","48","60","18","14","3","0","1","13","7","9","1","8","0","0","2","1","4","0",".375","13768"
"Ketel Marte","ARI","37","135","148","50","33","13","0","4","24","21","12","1","21","0","1","0","3","1","0",".370","13613"
"Byron Buxton","MIN","27","103","110","38","17","11","0","10","21","19","4","0","25","3","0","0","0","5","0",".369","14161"
"Adalberto Mondesi","KCR","10","36","38","13","4","5","0","4","6","9","1","0","11","0","0","1","1","1","1",".361","13769"
"Jon Jay","LAA","5","14","14","5","5","0","0","0","2","1","0","0","2","0","0","0","0","0","0",".357","5227"
"Jake Burger","CHW","10","28","31","10","5","3","1","1","5","3","3","0","8","0","0","0","2","0","0",".357","22275"
"Robinson Chirinos","CHC","7","9","12","3","1","1","0","1","2","2","3","0","3","0","0","0","0","0","0",".333","3142"
"Mike Trout","LAA","36","117","146","39","22","8","1","8","23","18","27","5","41","2","0","0","0","2","0",".333","10155"
"Ivan Castillo","SDP","3","3","4","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0",".333","15971"
"John Nogowski","- - -","29","60","65","20","16","4","0","0","9","8","4","0","8","1","0","0","2","0","0",".333","16852"
"JT Riddle","MIN","4","6","6","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","17642"
"Ali Sanchez","STL","1","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","18551"
"Estevan Florial","NYY","1","3","3","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".333","19151"
"Alex De Goti","HOU","2","6","7","2","2","0","0","0","2","1","1","0","2","0","0","0","0","0","0",".333","19477"
"Joey Bart","SFG","2","6","6","2","2","0","0","0","1","1","0","0","2","0","0","0","0","0","0",".333","21524"
"Vladimir Guerrero Jr.","TOR","90","325","384","108","59","17","1","31","72","78","53","5","67","4","2","0","11","2","1",".332","19611"
"Santiago Espinal","TOR","52","115","123","38","29","7","1","1","17","10","8","0","19","0","0","0","1","2","1",".330","19997"
"Nick Castellanos","CIN","85","336","367","111","63","29","1","18","59","59","27","4","79","3","1","0","7","2","1",".330","11737"
"Buster Posey","SFG","58","201","233","66","46","8","0","12","35","28","31","4","44","1","0","0","10","0","0",".328","9166"
"Michael Brantley","HOU","72","291","314","95","63","24","2","6","44","32","19","0","35","3","1","0","8","0","0",".326","4106"
"Adam Frazier","PIT","92","362","402","118","83","27","4","4","53","31","33","1","43","6","1","0","5","5","4",".326","15223"
"Chris Owings","COL","21","43","50","14","6","4","3","1","9","5","7","1","15","0","0","0","0","2","1",".326","10030"
"Thairo Estrada","SFG","15","31","35","10","8","1","0","1","4","8","4","1","6","0","0","0","0","0","0",".323","16426"
"Rob Refsnyder","MIN","18","56","62","18","12","4","0","2","10","10","5","0","15","0","1","0","1","0","0",".321","13770"
