Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Todd Frazier","PIT",6,11,8,1,0,1,0,0,0,2,2,0,2,1,0,0,0,0,0,0.125,785
2021,"Tommy Hunter","NYM",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1157
2021,"Albert Pujols","2 Tms",45,96,91,29,18,2,0,9,9,22,4,1,13,1,0,0,4,0,0,0.31868132,1177
2021,"Wilson Ramos","DET",12,29,27,3,2,1,0,0,0,1,2,0,9,0,0,0,0,0,0,0.11111111,1433
2021,"Miguel Cabrera","DET",33,86,78,24,20,3,0,1,1,11,8,0,23,0,0,0,2,0,0,0.30769231,1744
2021,"Adam Wainwright","STL",5,8,6,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,2233
2021,"Carlos Santana","KCR",45,98,87,27,21,3,0,3,3,15,9,1,10,1,1,0,1,0,0,0.31034483,2396
2021,"Nelson Cruz","MIN",50,115,103,38,25,7,0,6,6,16,7,2,16,2,1,0,5,0,0,0.36893204,2434
2021,"Manny Pina","MIL",30,50,42,6,2,1,0,3,3,6,7,0,6,1,0,0,2,0,0,0.14285714,2829
2021,"Ross Detwiler","MIA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2859
2021,"Roberto Perez","CLE",22,44,36,7,3,0,0,4,4,9,7,0,12,1,0,0,0,0,0,0.19444444,2900
2021,"Tommy Pham","SDP",38,85,70,17,11,3,0,3,3,7,13,0,19,1,1,0,1,0,0,0.24285714,2967
2021,"Max Scherzer","WSN",7,12,11,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,3137
2021,"Robinson Chirinos","CHC",3,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3142
2021,"Charlie Culberson","TEX",39,84,75,28,15,9,2,2,2,11,6,1,13,1,0,2,1,0,0,0.37333333,3298
2021,"Drew Butera","LAA",4,6,6,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.16666667,3411
2021,"Jeff Mathis","ATL",2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3448
2021,"Rene Rivera","2 Tms",14,29,25,8,5,2,0,1,1,3,3,0,10,1,0,0,1,0,0,0.32,3648
2021,"Dexter Fowler","LAA",4,5,5,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.4,4062
2021,"Jake Arrieta","CHC",7,9,7,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,4153
2021,"Ryan Zimmerman","WSN",32,69,67,21,12,5,0,4,4,12,2,0,20,0,0,0,1,0,0,0.31343284,4220
2021,"Jose Lobaton","CHC",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243
2021,"Jed Lowrie","OAK",58,135,125,35,24,8,0,3,3,19,10,0,27,0,0,0,3,0,0,0.28,4418
2021,"Jordan Zimmermann","MIL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4505
2021,"Starlin Castro","WSN",46,89,83,29,23,6,0,0,0,11,5,0,20,0,1,0,1,0,0,0.34939759,4579
2021,"Charlie Morton","ATL",4,7,7,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0.28571429,4676
2021,"Giancarlo Stanton","NYY",42,93,80,20,14,2,0,4,4,12,12,0,22,1,0,0,5,0,0,0.25,4949
2021,"Asdrubal Cabrera","ARI",37,70,60,15,10,4,0,1,1,10,9,1,15,0,1,0,0,0,0,0.25,4962
2021,"Josh Donaldson","MIN",39,91,76,23,14,3,0,6,6,13,14,1,21,0,1,0,3,0,0,0.30263158,5038
2021,"Justin Upton","LAA",37,76,60,15,7,2,0,6,6,11,15,0,20,1,0,0,3,0,0,0.25,5222
2021,"Cameron Maybin","NYM",3,7,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5223
2021,"Justin Turner","LAD",51,115,101,29,16,6,0,7,7,22,13,0,21,0,1,0,2,0,0,0.28712871,5235
2021,"Robbie Grossman","DET",51,114,91,24,13,4,2,5,5,19,19,0,24,1,2,1,2,0,0,0.26373626,5254
2021,"Sandy Leon","MIA",30,49,46,10,8,2,0,0,0,1,2,0,11,1,0,0,0,0,0,0.2173913,5273
2021,"Aaron Hicks","NYY",17,36,33,8,4,1,0,3,3,7,2,0,11,0,1,0,1,0,0,0.24242424,5297
2021,"Juan Lagares","LAA",34,67,65,15,5,8,0,2,2,7,0,0,10,1,1,0,2,0,0,0.23076923,5384
2021,"Pablo Sandoval","ATL",7,8,6,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0.16666667,5409
2021,"Jose Altuve","HOU",50,130,117,36,28,3,0,5,5,15,10,1,20,1,2,0,1,0,0,0.30769231,5417
2021,"Jesse Chavez","ATL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5448
2021,"Abraham Almonte","ATL",16,24,22,3,1,2,0,0,0,2,2,0,6,0,0,0,1,0,0,0.13636364,5486
2021,"Austin Romine","CHC",2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,5491
2021,"Marwin Gonzalez","BOS",36,64,61,17,7,9,0,1,1,6,3,0,10,0,0,0,2,0,0,0.27868852,5497
2021,"Kyle Higashioka","NYY",18,33,29,8,4,1,0,3,3,5,4,0,6,0,0,0,0,0,0,0.27586207,5517
2021,"Madison Bumgarner","ARI",2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5524
2021,"Steven Souza Jr.","LAD",8,15,15,3,1,0,1,1,1,2,0,0,6,0,0,0,0,0,0,0.2,5667
2021,"Hernan Perez","WSN",7,14,12,1,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0.08333333,5751
2021,"Avisail Garcia","MIL",37,71,59,17,8,6,0,3,3,13,10,2,15,2,0,0,2,0,0,0.28813559,5760
2021,"Wilmer Flores","SFG",50,95,90,24,18,4,0,2,2,9,5,0,16,0,0,0,3,0,0,0.26666667,5827
2021,"Leury Garcia","CHW",45,89,80,22,17,3,1,1,1,15,5,0,21,0,1,3,1,0,0,0.275,5913
2021,"Jean Segura","PHI",48,102,91,29,20,5,1,3,3,10,9,1,13,1,1,0,3,0,0,0.31868132,5933
2021,"Eduardo Escobar","ARI",48,91,85,23,14,2,0,7,7,18,6,1,12,0,0,0,0,0,0,0.27058824,6153
2021,"J.D. Martinez","BOS",59,130,116,33,19,7,2,5,5,20,13,2,21,0,1,0,5,0,0,0.28448276,6184
2021,"Trevor Cahill","PIT",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6249
2021,"Alcides Escobar","WSN",7,12,12,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,6310
2021,"Jordy Mercer","WSN",19,35,33,11,9,2,0,0,0,0,2,0,8,0,0,0,0,0,0,0.33333333,6547
2021,"Alex Cobb","LAA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6562
2021,"Freddy Galvis","BAL",47,82,78,23,14,5,0,4,4,11,4,0,16,0,0,0,3,0,0,0.29487179,6609
2021,"Martin Maldonado","HOU",39,78,74,18,12,1,1,4,4,15,3,0,25,1,0,0,3,0,0,0.24324324,6887
2021,"Johnny Cueto","SFG",4,8,5,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,6893
2021,"Chase Anderson","PHI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6895
2021,"Eric Campbell","SEA",2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6938
2021,"Yadier Molina","STL",24,44,40,11,3,6,0,2,2,9,4,0,9,0,0,0,0,0,0,0.275,7007
2021,"Craig Stammen","SDP",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7274
