Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,"Todd Frazier","PIT",11,29,27,2,2,0,0,0,0,2,1,0,4,1,0,0,1,0,0,0.07407407,785
2021,"Albert Pujols","2 Tms",50,119,111,20,16,0,0,4,4,13,4,1,17,3,1,0,5,0,0,0.18018018,1177
2021,"Wilson Ramos","DET",34,99,93,21,11,4,0,6,6,12,4,0,20,0,0,0,1,0,0,0.22580645,1433
2021,"Miguel Cabrera","DET",65,202,186,39,30,3,0,6,6,23,11,0,53,3,2,0,6,0,0,0.20967742,1744
2021,"Adam Wainwright","STL",16,32,25,1,1,0,0,0,0,0,0,0,13,0,0,7,1,0,0,0.04,2233
2021,"Nelson Cruz","MIN",74,214,179,47,29,5,1,12,12,31,27,4,42,3,4,0,5,0,0,0.26256983,2434
2021,"Jhoulys Chacin","COL",5,7,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2608
2021,"Manny Pina","MIL",27,65,56,6,3,1,0,2,2,4,7,0,15,1,1,0,1,0,0,0.10714286,2829
2021,"Ross Detwiler","MIA",2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,2859
2021,"Roberto Perez","CLE",24,57,52,8,4,2,0,2,2,6,4,0,22,0,0,1,1,0,0,0.15384615,2900
2021,"Tommy Pham","SDP",89,268,225,63,44,10,2,7,7,26,38,0,57,3,2,0,6,0,0,0.28,2967
2021,"Max Scherzer","WSN",12,23,22,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,3137
2021,"Robinson Chirinos","CHC",5,9,8,3,1,1,0,1,1,2,1,0,2,0,0,0,0,0,0,0.375,3142
2021,"Charlie Culberson","TEX",43,97,89,12,9,2,0,1,1,5,7,0,32,0,0,1,1,0,0,0.13483146,3298
2021,"Drew Butera","LAA",11,30,26,2,2,0,0,0,0,5,0,0,12,0,1,3,0,0,0,0.07692308,3411
2021,"Jeff Mathis","ATL",3,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3448
2021,"Rene Rivera","2 Tms",17,42,38,7,5,1,0,1,1,6,1,0,17,0,0,3,2,0,0,0.18421053,3648
2021,"Jake Arrieta","CHC",10,14,11,2,2,0,0,0,0,0,1,0,7,1,0,1,0,0,0,0.18181818,4153
2021,"Ryan Zimmerman","WSN",52,96,91,17,9,2,0,6,6,15,5,0,23,0,0,0,1,0,0,0.18681319,4220
2021,"Starlin Castro","WSN",84,257,232,60,43,14,0,3,3,27,21,1,42,0,3,0,5,0,0,0.25862069,4579
2021,"Charlie Morton","ATL",14,26,25,2,2,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0.08,4676
2021,"Nate Jones","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4696
2021,"Giancarlo Stanton","NYY",70,210,184,48,30,7,0,11,11,31,25,1,63,0,1,0,8,0,0,0.26086957,4949
2021,"Jake Diekman","OAK",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5003
2021,"Josh Donaldson","MIN",62,194,162,37,18,11,0,8,8,24,26,0,35,1,5,0,9,0,0,0.22839506,5038
2021,"Justin Upton","LAA",56,180,163,40,24,8,0,8,8,21,15,0,54,0,2,0,4,0,0,0.24539877,5222
2021,"Cameron Maybin","NYM",8,26,22,1,1,0,0,0,0,0,3,0,8,1,0,0,0,0,0,0.04545455,5223
2021,"Justin Turner","LAD",84,254,218,68,49,10,0,9,9,32,27,0,43,7,2,0,7,0,0,0.31192661,5235
2021,"Michael Pineda","MIN",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5372
2021,"Juan Lagares","LAA",55,132,125,28,19,8,1,0,0,17,6,0,29,0,0,1,3,0,0,0.224,5384
2021,"Jose Altuve","HOU",79,251,213,54,32,7,0,15,15,40,33,1,40,1,4,0,5,0,0,0.25352113,5417
2021,"Jesse Chavez","ATL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5448
